
transcript21-:
--------Lecture: b'image' b'brain' b'images' b'resonance' b'mr' b'body' b'field' b'radio' b'sound' b'kind' 
--------34 paragraph: b'sound' b'gel' b'body' b'skin' b'surface' b'transducer' b'probe' b'interfaces' b'waves' b'contact' 
--------35 paragraph: b'sound' b'material' b'materials' b'transducer' b'get' b'voltage' b'waves' b'wave' b'body' b'property' 
--------36 paragraph: b'sound' b'wall' b'interfaces' b'bone' b'skin' b'interface' b'echo' b'back' b'experience' b'time' 
--------37 paragraph: b'echo' b'sound' b'ultrasound' b'object' b'depths' b'calculates' b'machine' b'maps' b'sense' b'waves' 
--------38 paragraph: b'heart' b'atria' b'image' b'region' b'boundaries' b'tissue' b'atrium' b'ventricle' b'weeks' b'darker' 
--------39 paragraph: b'image' b'time' b'spots' b'things' b'images' b'speckles' b'motion' b'sort' b'ultrasound' b'example' 
--------40 paragraph: b'heart' b'valves' b'echocardiography' b'function' b'ultrasound' b'valve' b'heartbeat' b'event' b'term' b'which' 
--------41 paragraph: b'image' b'pregnancy' b'office' b'machine' b'kind' b'example' b'course' b'way' b'infant' b'woman' 
--------42 paragraph: b'baby' b'probe' b'time' b'age' b'infants' b'mother' b'scrapbook' b'utero' b'way' b'angles' 
--------43 paragraph: b'frequency' b'ambulance' b'car' b'siren' b'speed' b'doppler' b'effect' b'horn' b'sound' b'towards' 
--------44 paragraph: b'arteries' b'vessels' b'neck' b'rate' b'blood' b'flow' b'probe' b'hardening' b'arthrosclerosis' b'disease' 
--------45 paragraph: b'image' b'equipment' b'imaging' b'time' b'resonance' b'advantages' b'applications' b'approaches' b'motion' b'quality' 
--------46 paragraph: b'radiation' b'gamma' b'penetrates' b'tissue' b'isotopes' b'form' b'example' b'frequency' b'rays' b'events' 
--------47 paragraph: b'body' b'isotopes' b'measure' b'function' b'region' b'advantage' b'medicine' b'source' b'regions' b'well' 
--------48 paragraph: b'thyroid' b'iodine' b'radioactivity' b'pattern' b'rate' b'something' b'neck' b'example' b'body' b'mechanism' 
--------49 paragraph: b'molecules' b'brain' b'body' b'dopamine' b'parkinson' b'radio' b'disease' b'chemical' b'kind' b'function' 
--------50 paragraph: b'positron' b'rays' b'brain' b'gamma' b'isotope' b'electron' b'positrons' b'radio' b'tissues' b'imaging' 
--------51 paragraph: b'radio' b'isotopes' b'machine' b'kind' b'order' b'cyclotron' b'technicians' b'source' b'things' b'costs' 
--------52 paragraph: b'objects' b'body' b'light' b'images' b'order' b'radiation' b'way' b'ways' b'microscope' b'detail' 
--------53 paragraph: b'pollen' b'grain' b'scans' b'techniques' b'kinds' b'cells' b'objects' b'pictures' b'stages' b'microscope' 
--------54 paragraph: b'light' b'fiber' b'optics' b'coating' b'microscopy' b'glomerulus' b'technologies' b'people' b'book' b'objects' 
--------55 paragraph: b'light' b'endoscope' b'stomach' b'source' b'end' b'intestine' b'objects' b'part' b'object' b'duodenum' 
--------56 paragraph: b'lining' b'stomach' b'light' b'intestine' b'things' b'methods' b'anatomy' b'thanks' b'lot' b'disturbance' 
--------57 paragraph: 
