
transcript07-:
--------Lecture: b'cell' b'cells' b'system' b'molecules' b'example' b'receptor' b'ligand' b'receptors' b'protein' b'signal' 
--------34 paragraph: b'protein' b'cell' b'receptor' b'kinase' b'phosphatase' b'phosphokinases' b'kinases' b'opposite' b'molecules' b'reaction' 
--------35 paragraph: b'cell' b'cells' b'communication' b'receptor' b'molecule' b'interaction' b'kind' b'immune' b'system' b'transduction' 
--------36 paragraph: b'ligand' b'receptor' b'example' b'cell' b'immune' b'feedback' b'system' b'signals' b'production' b'activation' 
--------37 paragraph: b'signal' b'cell' b'distance' b"'paracrine" b'means' b'molecule' b'diffusion' b'molecules' b'system' b'blood' 
--------38 paragraph: b'cells' b'body' b'cell' b'pancreas' b'gland' b'acts' b'one' b'adrenaline' b'insulin' b'course' 
--------39 paragraph: b'hormones' b'molecules' b'hormone' b'growth' b'ligand' b'fashion' b'example' b'body' b'proteins' b'system' 
--------40 paragraph: b'cell' b'receptors' b'estrogen' b'cells' b'molecules' b'example' b'hormones' b'surface' b'function' b'characteristics' 
--------41 paragraph: b'glucose' b'insulin' b'blood' b'bar' b'signal' b'sugar' b'lot' b'levels' b'snicker' b'snickers' 
--------42 paragraph: b'cells' b'muscle' b'body' b'receptors' b'minutes' b'kinds' b'glucose' b'energy' b'changes' b'things' 
--------43 paragraph: b'cell' b'insulin' b'receptor' b'cells' b'get' b'leads' b'kinase' b'change' b'changes' b'activity' 
--------44 paragraph: b'glucagon' b'states' b'hormone' b'insulin' b'cells' b'level' b'day' b'effects' b'change' b'behaviors' 
--------45 paragraph: b'estrogen' b'receptor' b'dna' b'cells' b'example' b'cell' b'nucleus' b'expression' b'molecule' b'genes' 
--------46 paragraph: b'system' b'transcription' b'time' b'lot' b'detail' b'chapter' b'points' b'ones' b'understanding' b'topics' 
--------47 paragraph: 
