
transcript17-:
--------Lecture: b'kidney' b'sodium' b'water' b'concentration' b'glomerulus' b'urine' b'tubule' b'filtration' b'blood' b'molecules' 
--------19 paragraph: b'rate' b'tubules' b'kidneys' b'filtration' b'glomeruli' b'concept' b'fluid' b'diagram' b'bladder' b'geometry' 
--------20 paragraph: b'inulin' b'molecule' b'blood' b'glomerulus' b'polysaccharide' b'weight' b'part' b'circulates' b'sort' b'advantage' 
--------21 paragraph: b'inulin' b'urine' b'amount' b'how' b'function' b'kidney' b'event' b'rate' b'filtrate' b'physicians' 
--------22 paragraph: b'concentration' b'inulin' b'urine' b'molecules' b'weight' b'rate' b'number' b'plasma' b'accounting' b'time' 
--------23 paragraph: b'body' b'tracer' b'properties' b'molecule' b'filtration' b'rate' b'inulin' b'concentration' b'things' b'sort' 
--------24 paragraph: b'pressure' b'efferent' b'arterioles' b'capillaries' b'filtration' b'rate' b'diameters' b'kidney' b'glomerulus' b'resistances' 
--------25 paragraph: b'reabsorption' b'kidney' b'processes' b'volume' b'filtrate' b'water' b'glomerulus' b'perspective' b'engineering' b'sort' 
--------26 paragraph: b'transport' b'molecules' b'reabsorption' b'how' b'distal' b'henle' b'loop' b'proximal' b'movement' b'gradients' 
--------27 paragraph: b'potassium' b'sodium' b'pump' b'cell' b'concentrations' b'concentration' b'action' b'result' b'state' b'function' 
--------28 paragraph: b'atp' b'energy' b'cells' b'molecule' b'body' b'concentrations' b'pump' b'potassium' b'ion' b'end' 
--------29 paragraph: b'student' 
--------30 paragraph: b'heart' b'life' b'generation' b'action' b'potentials' b'impulses' b'activities' b'energy' b'nerve' b'lots' 
--------31 paragraph: b'water' b'lot' b'reabsorption' b'kidney' b'tubule' b'order' b'products' b'example' b'distal' b'filtrate' 
--------32 paragraph: b'tubules' b'number' b'molecules' b'urine' b'progress' b'glomerulus' b'concentration' b'tracer' b'gfr' b'filtration' 
--------33 paragraph: b'tubule' b'glucose' b'loop' b'sodium' b'molecules' b'urine' b'concentration' b'filtrate' b'descending' b'henle' 
--------34 paragraph: b'gradients' b'sodium' b'tubule' b'rest' b'kidney' b'parts' b'processes' b'interplay' b'things' b'lot' 
--------35 paragraph: b'concentration' b'tubule' b'sodium' b'filtrate' b'plasma' b'membrane' b'space' b'cells' b'well' b'part' 
--------36 paragraph: b'sodium' b'tube' b'channels' b'membranes' b'potassium' b'molecules' b'side' b'pumps' b'boundary' b'transport' 
--------37 paragraph: b'sodium' b'surface' b'blood' b'diffusion' b'pumps' b'thing' b'cells' b'effect' b'filtrate' b'potassium' 
--------38 paragraph: b'membranes' b'side' b'ions' b'properties' b'systems' b'molecule' b'concepts' b'order' b'example' b'sorts' 
--------39 paragraph: b'sodium' b'glucose' b'bicarbonate' b'potassium' b'table' b'bit' b'kinds' b'one' b'perspective' b'kidney' 
--------40 paragraph: b'molecules' b'place' b'reabsorption' b'system' b'part' b'potassium' b'percentage' b'table' b'thing' b'result' 
--------41 paragraph: b'water' b'l' b'food' b'output' b'inputs' b'vessel' b'body' b'ions' b'homeostasis' b'metabolism' 
--------42 paragraph: b'water' b'air' b'liter' b'half' b'lungs' b'ways' b'plate' b'variety' b'activities' b'intake' 
--------43 paragraph: b'way' b'water' b'lot' b'urine' b'amount' b'day' b'changes' b'mechanisms' b'a' b'sweat' 
--------44 paragraph: b'salt' b'concentration' b'bit' b'urine' b'day' b'%' b'water' b'sodium' b'body' b'well' 
--------45 paragraph: b'body' b'salt' b'day' b'heart' b'brain' b'level' b'concentrations' b'sodium' b'course' b'senses' 
--------46 paragraph: b'body' b'dialysis' b'functions' b'function' b'kidney' b'people' b'century' b'engineers' b'technology' b'afternoon' 
--------47 paragraph: 
