
transcript15:b'new' b'yale' b'students' b'people' b'sort' b'okay' b'town' b'lecture' b'way' b'haven' 
--------1 paragraph: b'lecture' b'insane' b'something' b'okay' b'day' b'confession' b'freeman' b'joanne' b'professor' 
--------25 paragraph: b'case' b'horse' b'yard' b'horsemanship' b'practice' b'guy' b'drilling' b'horseback' b'fighting' b'one' 
--------26 paragraph: b'new' b'haven' b'levels' b'society' b'makers' b'chair' b'mindset' b'barbers' b'something' b'leisure' 
--------27 paragraph: b'new' b'lexington' b'haven' b'news' b'deal' b'everyone' b'desk' b'agency' b'advertising' b'receptionist' 
--------28 paragraph: b'new' b'haven' b'lexington' b'battle' b'profit' b'troops' b'tidings' b'studies' b'engagement' b'student' 
--------29 paragraph: b'men' b'sort' b'massachusetts' b'statement' b'guys' b'town' b'march' b'arms' b'lecture' b'today' 
--------30 paragraph: b'king' b'independence' b'arms' b"they've" b'okay' b'empire' b'head' b'majesty' b'rebellion' b'thought' 
--------31 paragraph: b'act' b'king' b'liberties' b'lives' b'defense' b'arms' b'recourse' b'principle' b'necessity' b'conduct' 
--------32 paragraph: b'okay' b'drinking' b'world' b'purpose' b'practicalities' b'gamble' b'drunk' b'sentiment' b'sort' b'statement' 
--------33 paragraph: b'student' b'college' b'fun' b'events' b'moment' b'trouble' b'sorts' b'leanings' b'guy' b'haven' 
--------34 paragraph: b'student' b'loyalist' b'yale' b'things' b'meeting' b'obviously' b'everyone' b'body' b'okay' b'students' 
--------35 paragraph: b'sorry' b'bit' b'guy' b'morning' b'politics' b'university' b'yale' b'person' b"'you" b'action' 
--------36 paragraph: b'yale' b'war' b'student' b'loyalist' b'idea' b"'nice" b'fighting' b'friends' b'daggett' b'townie' 
--------37 paragraph: b'students' b'kind' b'decision' b'way' b'document' b'company' b'new' b'yale' b'arms' b'haven' 
--------38 paragraph: b'life' b'haven' b'new' b'scale' b'king' b'loyalty' b'fears' b'resentments' b'lectures' b'course' 
--------39 paragraph: b'lecture' b'continental' b'army' b'george' b'washington' b'way' b'haven' b'new' b'boston' b'year' 
--------40 paragraph: b'washington' b'students' b'yale' b'webster' b'drill' b'body' b'people' b'years' b'year' b'freshman' 
--------41 paragraph: b'port' b'minutes' b'new' b'haven' b'students' b'yale' b'people' b'states' b'warfare' b'time' 
--------42 paragraph: b'places' b'troops' b'new' b'yale' b'haven' b'so' b'students' b'wethersfield' b'seniors' b'case' 
--------43 paragraph: b'food' b'people' b'supplies' b'army' b'problems' b'yale' b'something' b'sort' b'sources' b'haven' 
--------44 paragraph: b'food' b'son' b'[' b'okay' b'yale' b'parents' b'sorry' b'students' b'bills' b'tuition' 
--------45 paragraph: b'entries' b'events' b'yale' b'time' b'new' b'year' b'haven' b'account' b'kind' b'sentences' 
--------46 paragraph: b'rumor' b'ships' b'landing' b'enemy' b'soldiers' b'case' b'militia' b'yale' b'president' b'so' 
--------47 paragraph: b'boats' b'ships' b'telescope' b'college' b'stiles' b'shore' b'july' b'day' b'tories' b'meeting' 
--------48 paragraph: b'july' b'furniture' b'diplomas' b'yale' b'thermometer' b'students' b"i've" b'taxing' b'[' b'striking' 
--------49 paragraph: b'connecticut' b'new' b'washington' b'fronts' b'shore' b'way' b'thought' b'apparently' b'position' b'plains' 
--------50 paragraph: b'haven' b'new' b'part' b'tories' b'whigs' b'rest' b'nothing' b'town' b'quarter' b'arms' 
--------51 paragraph: b'people' b'side' b'town' b'lump' b'sort' b'decisions' b'consequences' b'way' b'cases' b'sentence' 
--------52 paragraph: b'blackstone' b'home' b'student' b'students' b'lone' b'town' b'lot' b'fairfield' b'right' b'sophomore' 
--------53 paragraph: b'yale' b'hillhouse' b'haven' b'students' b'graduate' b'years' b'point' b'men' b'new' b'student' 
--------54 paragraph: b'march' b'force' b'stand' b'expectation' b'men' b'company' b'volunteer' b'goods' b'removal' b'preparation' 
--------55 paragraph: b'yale' b'professor' b'divinity' b'daggett' b'naphtali' b'president' b'enemy' b'bridge' b'west' b'july' 
--------56 paragraph: b'practice' b'principles' b'style' b'forth' b'propriety' b'right' b'mind' b'matter' b'gentleman' b'action' 
--------57 paragraph: b'president' b'gun' b'daggett' b'accuracy' b'professor' b'yale' b'sake' b'lecture' b'[' b'student' 
--------58 paragraph: b'milford' b'west' b'body' b'ourselves' b'fields' b'length' b'times' b'fence' b'line' b'stand' 
--------59 paragraph: b'road' b'town' b'enemy' b'purpose' b'persons' b'bridge' b'west' b'hill' b'station' b'laughter' 
--------60 paragraph: b'account' b'so' b'okay' b'daggett' b'ends' b'afterwards' 
--------61 paragraph: b'rods' b'covert' b'bushes' b'enemy' b'unhurt' b'[' b'weeds' b'dozen' b'god' b'surprise' 
--------62 paragraph: b'gun' b'prisoner' b'shot' b'army' b'[' b'guy' b'musket' b'laughter' b'so' b'okay' 
--------63 paragraph: b'laughter' b'quote' b'swore' b'rebel' b'infernals' b'fury' b'hand' b'number' b'life' b'quarter' 
--------64 paragraph: b'guy' b'laughter' b'head' b'[' b'sort' b'bit' b'bayonet' b'time' b'gun' b'account' 
--------65 paragraph: b'new' b'haven' b'professor' b'guy' b'charge' b'moment' b'injuries' b'people' b'years' b'couple' 
--------66 paragraph: b'skirmish' b'inhabitants' b'insult' b'abuse' b'insolence' b'women' b'sex' b'indelicacies' b'haven' b'bayoneting' 
--------67 paragraph: b'someone' b'street' b'horse' b'state' b'east' b'haven' b'officer' b'sort' b'laughter' b'garden' 
--------68 paragraph: b'town' b'sense' b'friend' b'king' b'george' b'house' b'man' b'wake' b'destruction' b'lot' 
--------69 paragraph: b'people' b'new' b'haven' b'kinds' b'divisions' b'action' b'unity' b'choices' b'war' b'students' 
--------70 paragraph: b'action' b'loyalists' b'student' b'new' b'haven' b'daggett' b'gun' b'professor' b'actions' b'know' 
--------71 paragraph: b'revolution' b'experience' b'way' b'citizens' b'people' b'meanings' b'leadership' b'citizenship' b'yale' b'haven' 
